acquisition,RX_level,RX_difference
487,-78.82817,2.704308
487,-78.82817,2.704308
488,-78.82817,2.704308
488,-78.574363,2.821983
489,-78.574363,2.821983
489,-78.574363,2.821983
490,-78.574363,2.821983
490,-78.751487,2.70639
491,-78.751487,2.70639
491,-78.751487,2.70639
492,-78.751487,2.70639
492,-78.696373,2.60321
493,-78.696373,2.60321
493,-78.696373,2.60321
494,-78.696373,2.60321
494,-78.836547,3.089333
495,-78.836547,3.089333
495,-78.836547,3.089333
496,-78.836547,3.089333
496,-78.600082,2.570786
497,-78.600082,2.570786
497,-78.600082,2.570786
498,-78.600082,2.570786
498,-78.662025,2.792847
499,-78.662025,2.792847
499,-78.662025,2.792847
500,-78.662025,2.792847
500,-78.645957,2.67466
501,-78.645957,2.67466
501,-78.645957,2.67466
502,-78.645957,2.67466
502,-78.834449,2.553459
503,-78.834449,2.553459
503,-78.834449,2.553459
504,-78.834449,2.553459
504,-78.692314,3.235588
505,-78.692314,3.235588
505,-78.692314,3.235588
506,-78.692314,3.235588
506,-78.774147,2.476646
507,-78.774147,2.476646
507,-78.774147,2.476646
508,-78.774147,2.476646
508,-78.625946,2.695404
509,-78.625946,2.695404
509,-78.625946,2.695404
510,-78.625946,2.695404
510,-78.880767,3.337631
511,-78.880767,3.337631
511,-78.880767,3.337631
512,-78.880767,3.337631
512,-78.936141,3.246086
513,-78.936141,3.246086
513,-78.936141,3.246086
514,-78.936141,3.246086
514,-78.733039,2.795395
515,-78.733039,2.795395
515,-78.733039,2.795395
516,-78.733039,2.795395
516,-78.578315,2.610855
517,-78.578315,2.610855
517,-78.578315,2.610855
518,-78.578315,2.610855
518,-78.578315,2.962288
519,-78.578315,2.962288
519,-78.578315,2.962288
520,-78.578315,2.962288
520,-78.645957,2.596428
521,-78.645957,2.596428
521,-78.645957,2.596428
522,-78.645957,2.596428
522,-78.733039,2.728134
523,-78.733039,2.728134
523,-78.733039,2.728134
524,-78.733039,2.728134
524,-78.608024,2.632782
525,-78.608024,2.632782
525,-78.608024,2.632782
526,-78.608024,2.632782
526,-78.751487,2.871178
527,-78.751487,2.871178
527,-78.751487,2.871178
528,-78.751487,2.871178
528,-78.60604,2.502693
529,-78.60604,2.502693
529,-78.60604,2.502693
530,-78.60604,2.502693
530,-78.776214,2.775337
531,-78.776214,2.775337
531,-78.776214,2.775337
532,-78.776214,2.775337
532,-78.631942,3.405205
