,acquisition,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
278,7,wave,-0.93,-12.51,-1.28,0.04151,0.02562,-0.189
279,7,wave,-0.93,-12.51,-1.28,0.04151,0.02562,-0.189
280,8,wave,9.44,0.35,2.61,0.00112,-0.01386,0.01589
281,8,wave,9.44,0.35,2.61,0.00112,-0.01386,0.01589
282,8,wave,9.44,0.35,2.61,0.00112,-0.01386,0.01589
283,8,wave,9.44,0.35,2.61,0.00112,-0.01386,0.01589
284,8,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
285,8,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
286,8,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
287,8,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
288,8,wave,7.57,-12.63,-5.29,0.00357,0.00763,-0.01141
289,8,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
290,8,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
291,8,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
292,8,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
293,8,wave,5.54,11.62,9.71,0.13356,0.07056,0.16786
294,8,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
295,8,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
296,8,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
297,8,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
298,8,wave,-1.0,-16.02,-5.29,-0.00644,-0.17815,-0.24857
299,8,wave,7.45,16.58,7.68,-0.16478,0.1015,0.38248
300,8,wave,7.45,16.58,7.68,-0.16478,0.1015,0.38248
301,8,wave,7.45,16.58,7.68,-0.16478,0.1015,0.38248
302,8,wave,7.45,16.58,7.68,-0.16478,0.1015,0.38248
303,8,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
304,8,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
305,8,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
306,8,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
307,8,wave,0.62,-11.3,-12.28,-0.03192,-0.09149,-0.17199
308,8,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
309,8,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
310,8,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
311,8,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
312,8,wave,-4.75,12.48,8.03,-0.02828,-0.01596,-0.02317
313,8,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
314,8,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
315,8,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
316,8,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
317,8,wave,1.4,2.77,3.2,0.12495,-0.0595,0.10283
318,8,wave,1.29,-10.72,-6.0,0.02884,-0.16212,-0.27881
319,8,wave,1.29,-10.72,-6.0,0.02884,-0.16212,-0.27881
