,acquisition,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
322,7,NLOS,1772.0,48056.0,912.0,-79.442581,-83.674942,3.358295
323,7,NLOS,1763.0,47682.0,840.0,-79.517898,-83.624816,3.339534
324,7,NLOS,1830.0,47832.0,1089.0,-79.540016,-83.861122,3.377057
325,7,NLOS,1790.0,47979.0,1089.0,-79.378028,-83.486053,3.358295
326,7,NLOS,1711.0,47713.0,914.0,-79.476432,-84.164512,3.302011
327,7,NLOS,1748.0,47872.0,1040.0,-79.670036,-83.790618,3.41458
328,7,NLOS,1772.0,48002.0,993.0,-79.577125,-83.940208,3.358295
329,7,NLOS,1782.0,48129.0,916.0,-79.517898,-83.907852,3.377057
330,7,NLOS,1814.0,47740.0,991.0,-79.493461,-83.652923,3.377057
331,7,NLOS,1962.0,47864.0,879.0,-79.416168,-83.894058,3.320773
332,7,NLOS,1752.0,47979.0,941.0,-79.075546,-83.325096,3.358295
333,7,NLOS,1796.0,48120.0,957.0,-79.567199,-83.897277,3.302011
334,7,NLOS,1779.0,47749.0,914.0,-79.459472,-83.762405,3.320773
335,7,NLOS,1786.0,47857.0,914.0,-79.500778,-83.892555,3.339534
336,7,NLOS,1749.0,47974.0,920.0,-79.483726,-83.92527,3.302011
337,7,NLOS,1762.0,48090.0,1089.0,-79.574638,-83.78704,3.358295
338,7,NLOS,1781.0,47721.0,876.0,-79.54248,-83.624404,3.377057
339,7,NLOS,1811.0,47822.0,956.0,-79.495903,-84.036849,3.395818
340,7,NLOS,1862.0,47942.0,877.0,-79.423355,-83.574195,3.339534
341,7,NLOS,1796.0,48060.0,1086.0,-79.302742,-83.384956,3.395818
342,7,NLOS,1793.0,47647.0,959.0,-79.459472,-83.690277,3.320773
